Graph Size,Density,Average Tour Lenght,Average Memory Used (bytes),Average Time Taken (ms)
35,0.6,∞,560433,242.793
20,0.6,∞,566680,195.972
50,0.6,∞,599501,256.959
75,0.6,∞,141064,78.785
100,0.6,∞,1996870,1224.524
125,0.6,∞,2204776,2008.986
111,0.6,∞,1882952,2413.725
150,0.6,∞,3325629,2225.386
175,0.6,∞,4382509,10914.840
200,0.6,∞,6406330,13111.662
