Graph Size,Density,Average Tour Lenght,Average Memory Used (bytes),Average Time Taken (ms)
35,0.7,∞,1011622,393.003
50,0.7,∞,1071291,496.473
20,0.7,∞,1034799,534.111
75,0.7,∞,500349,302.193
100,0.7,∞,7354172,6566.846
150,0.7,∞,1427144,5131.956
111,0.7,∞,6252426,7458.708
125,0.7,∞,5351939,7299.117
175,0.7,955.835,8965228,14378.218
200,0.7,∞,3990651,15566.339
