Graph Size,Density,Average Tour Lenght,Average Memory Used (bytes),Average Time Taken (ms)
20,0.9,107.247,1404933,832.579
35,0.9,192.15,1414065,916.995
75,0.9,∞,1295267,839.682
50,0.9,∞,1242692,904.059
100,0.9,∞,9221349,9766.232
111,0.9,∞,9926243,13317.025
125,0.9,684.6360000000001,6344961,13257.103
150,0.9,∞,5984904,14300.979
175,0.9,∞,3773053,7525.587
200,0.9,∞,3017198,8116.855
