Graph Size,Density,Average Tour Lenght,Average Memory Used (bytes),Average Time Taken (ms)
20,0.5,∞,294104,83.094
35,0.5,∞,291661,85.696
50,0.5,∞,275381,98.663
75,0.5,∞,1320776,486.402
100,0.5,∞,1009441,683.617
111,0.5,∞,1536032,834.331
125,0.5,∞,2481768,2000.806
150,0.5,∞,3258376,2444.666
175,0.5,∞,2986872,4603.669
200,0.5,∞,2698534,6385.542
