Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.9,5363496,133.339
35,0.9,7593757,179.401
50,0.9,8074251,275.696
75,0.9,12492130,527.566
100,0.9,12898768,847.695
111,0.9,12204955,977.366
125,0.9,10671232,1323.451
150,0.9,12644767,1694.340
175,0.9,17039044,3141.828
200,0.9,24703697,4524.417
