Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.9,9731031,437.769
35,0.9,15215552,945.563
50,0.9,22090235,2068.868
75,0.9,32530490,4965.150
100,0.9,33069326,10595.927
111,0.9,37658952,13066.256
125,0.9,65793438,20440.480
150,0.9,107717278,32346.211
175,0.9,38426773,40345.337
200,0.9,72140017,41535.434
