Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,1,7301517,272.727
35,1,11005258,725.027
50,1,15195112,1519.866
75,1,24079614,4158.793
100,1,51547204,10301.993
111,1,80638402,20102.227
125,1,100618805,29891.086
150,1,116051388,41809.214
175,1,32678977,51845.865
200,1,102920114,51840.907
