Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.5,2789800,280.826
35,0.5,1306592,534.453
50,0.5,2416840,551.889
75,0.5,3806572,1332.990
100,0.5,3857364,3174.871
111,0.5,5069088,4238.553
125,0.5,4892424,5631.728
150,0.5,6454752,8557.611
175,0.5,4558476,13031.752
200,0.5,8519404,18731.725
