Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.7,896404,44.579
35,0.7,1276364,124.365
50,0.7,2172796,217.523
75,0.7,1831336,318.892
100,0.7,1212012,490.662
111,0.7,1265108,604.795
125,0.7,2432680,751.231
150,0.7,2878132,1152.591
175,0.7,4602536,1428.259
200,0.7,3252472,1800.828
