Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.6,5477444,174.469
35,0.6,7277145,349.557
50,0.6,9105861,612.362
75,0.6,11565475,1559.238
100,0.6,14385602,3166.048
111,0.6,14054919,4087.366
125,0.6,16573997,5616.553
150,0.6,21004973,8837.424
175,0.6,53237460,16048.579
200,0.6,21330838,17158.191
