Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.6,4563105,56.998
35,0.6,6187905,86.041
50,0.6,6789504,143.812
75,0.6,8910382,240.294
100,0.6,9379523,362.573
111,0.6,8663332,425.953
125,0.6,9816224,502.956
150,0.6,10513772,740.748
175,0.6,13425978,1063.105
200,0.6,17800847,1455.961
