Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.7,7337004,245.967
35,0.7,10453250,531.390
50,0.7,12903520,1068.006
75,0.7,17659871,2770.942
100,0.7,20901641,5516.197
111,0.7,19178734,6900.780
125,0.7,24045767,9640.069
150,0.7,44520737,15430.533
175,0.7,63834306,25516.617
200,0.7,14544480,25901.720
