Graph Size,Density,Average Memory Used (bytes),Average Time Taken (ms)
20,0.5,4612206,27.729
35,0.5,4002787,53.849
50,0.5,5995399,108.473
75,0.5,8472342,184.026
100,0.5,8233414,314.887
111,0.5,10365889,355.461
125,0.5,8943824,441.152
150,0.5,11481328,607.370
175,0.5,10585020,795.194
200,0.5,12455366,1192.554
